name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Cough En Plus Sirup 60 ml,Rp10.700 - Rp22.100,sesudah makan,"COUGH EN PLUS SIRUP merupakan obat yang mengandung Dextrometorphan HBr, Chlorpheniramine maleat, Phenylpropanolamine, Ammonium chloride dan Na citrate. Obat ini digunakan untuk mengatasi gejala flu seperti hidung tersumbat, bersin-bersin, mata berair yang disertai batuk.",Dewasa 3 x sehari 1 sendok takar,"Gangguan psikotik, efek sedasi, sakit kepala, mulut kering, aritmia, takikardia dan retensi urine.",Obat Bebas Terbatas (Biru),Batuk,"Dus, Botol @ 60 ml","Per-5 ml: Dextromethorphan 7,5 mg, Chlorpheniramine maleate 1 mg, Phenylpropanolamine 10 mg, Ammon Cl 62,5 mg, Na citrate 25 mg","Hipersensitif, Pasien penderita hipertensi, penyakit jantung, diabetes mellitus, dan penderita gangguan fungsi hati yang parah",Metiska Farma,BPOM: DTL9516107637A1,"Hentikan penggunaan bila terjadi reaksi alergi, hati-hati penggunaan pada orang yang memiliki risiko terkena hipertensi dan stroke, Hati-hati penggunaan pada penderita gangguan ginjal, hati, glaukoma, hipertropi prostat, atau hipertiroid, Tidak dianjurkan penggunaan untuk anak usia <2th, Obat ini dapat menyebabkan kantuk."
Komix Herbal Lemon Sirup 15 ml 4 Botol,Rp12.000 - Rp14.900,Sesudah makan. Kocok dahulu sebelum diminum.,"KOMIX HERBAL merupakan obat herbal yang mengandung bahan alami berupa esktrak lagundi, ekstrak jahe merah, thymi herba, licorice, peppermint oil dan madu. Obat herbal ini digunakan untuk membantu meredakan batuk berdahak",Dewasa : 3 x sehari 1 tube botol Anak-anak : 1/2 dosis dewasa,,Herbal,Membantu meredakan batuk berdahak,"Dus, 4 Tube @ 15 ml","Vitex negundo folium extract (lagundi) 200mg, Zingiberis officinale Rosch Extract (jahe merah) 30mg, Thymus vulgaris herba extract (thymi herba) 100mg, Glycyrrhiza glabra radix extract (licorice) 167mg, Oleum menthae piperitae (pepermint oil) 11mg, Mel depuratum (madu) 3000mg",,Bintang Toedjoe,BPOM: TR142679251,Tidak boleh digunakan untuk anak-anak dibawah 2 tahun. Simpan pada suhu di bawah 30 C
Bisolvon Kids Sirup 60 ml,Rp45.100 - Rp59.700,Berikan sesudah makan,BISOLVON KIDS SIRUP mengandung zat aktif Bromhexine. Zat aktif ini digolongkan sebagai agen mukolitik yaitu obat yang berfungsi mengencerkan dahak. Obat ini digunakan dalam pengobatan gangguan pada saluran pernapasan yang disebabkan oleh dahak/mukus yang berlebihan.,Dewasa dan anak > 10 tahun : 3 kali sehari 10 mL. Anak 5-10 tahun : 3 kali sehari 5 mL. Anak 2-5 tahun : 2 kali sehari 5 mL,"Diare, mual, muntah, dan gangguan GI ringan lain. Reaksi alergi, misalnya ruam kulit, urtikaria, bronkospasme, angioedema, dan anafilaksis",Obat Bebas Terbatas (Biru),Mukolitik untuk batuk produktif,"Dus, Botol @ 60 ml",Per 5 mL : Bromhexine HCl 4 mg,penderita yang hipersensitif terhadap Bromhexine HCl atau komponen lain dalam formula.,Aventis Pharma,BPOM: DTL1821207237A1,Pasien dengan tukak lambung. Tidak boleh dikonsumsi pasien dg intoleransi fruktosa. Efek pencahar ringan. Hindari penggunaan selama kehamilan. Sebaiknya tidak digunakan selama menyusui.
Tissue Lovers Casanova 6 Lembar,Rp15.000 - Rp16.500,"Usapkan tissue pada daerah sensitif, biarkan 5-15 menit. Sebelum berhubungan cuci dengan sabun dan bilas air hangat",Tissue Lovers Casanova 6 Lembar merupakan produk tisu magic yang dapat meningkatkan stamina pria menjadi lebih tahan lama. Tissue Super Magic Casanova mengandung bahan aktif benzalkonium chloride yang dapat digunakan sebagai tisu antiseptik untuk membersihkan area organ intim pria dari infeksi bakteri/virus.,Sesuai kebutuhan. Digunakan sebelum berhubungan intim,-,Alat Kesehatan & Medis Habis Pakai,Tissue yang digunakan untuk menjaga kebersihan dan meningkatkan stamina pria menjadi lebih tahan lama.,Dus @ 6 Pieces,"Benzalkonium Chloride (0.05%), cocamidopropyl betaine (0.1%), Alkohol (30%), Fragrance, purified water.",-,Dua Lima Industries,Kemenkes RI: PKD20501220490,Simpan ditempat sejuk dan terlindungan cahaya matahari. Jauhkan dari jangkauan anak-anak.
Copal Balsem 36 g,Rp19.500 - Rp28.700,Gosokkan pada bagian tubuh yang sakit,"COPAL BALSEM TUBE 36 G merupakan balsem yang mengandung Camphora, Menthol dan Eucalyptus oil. Balsem ini digunakan untuk membantu mengatasi rasa pusing, mabuk perjalanan, gatal karena gigitan serangga dan masuk angin pada anak-anak.",Gosokkan secukupnya,Hipersensitivitas termasuk dermatitis kontak,Produk Konsumen,"Masuk angin, flu, hidung tersumbat, sakit kepala, sakit perus, digigit serangga",Tube 36 G,"Camphor 5%, menthol 2%, eucalyptus oil 2%",hipersensitivitas,Guardian Pharmatama,BPOM: QD151714141,"Hentikan pemakaian bila terjadi reaksi iritasi, Hanya untuk pemakaian luar."
SGM Eksplor 1 Plus Complinutri Vanila Susu Pertumbuhan Bubuk 150 g,Rp13.200 - Rp22.000,Saran penyajian dapat dilihat pada kemasan produk.,"SGM Eksplor 1 Plus dengan formula Complinutri merupakan susu pertumbuhan yang ditujukan untuk anak usia 1-3 tahun dalam membantu melengkapi nutrisi untuk dukung si Kecil memiliki 5 Potensi Prestasi Anak Generasi Maju : Berpikir Kreatif, Bantu Tumbuh Kembang, Supel, Mandiri, Percaya Diri. Formula Complinutri membantu melengkapi nutrisi si Kecil karena mengandung zat-zat gizi yang saling mendukung, diantaranya yaitu: 1. Minyak Ikan, Omega 3, Omega 6, zat Besi untuk mendukung daya pikir si Kecil. 2. Tinggi Protein yang penting untuk mendukung pertumbuhan & perkembangan si Kecil. 3. Kalsium & Vitamin D untuk mendukung pembentukan & mempertahankan kepadatan tulang & gigi si Kecil. 4. Vitamin C & Zinc untuk mendukung daya tahan tubuh si Kecil. 5. Serat Pangan Inulin untuk mempertahankan kesehatan saluran cerna si Kecil. 6. 11 Vitamin & 8 mineral lainnya untuk dukung tumbuh kembang optimal si Kecil.",Berikan SGM Eksplor 1 Plus minimal tiga kali sehari untuk bantu lengkapi nutrisi si Kecil. Mohon memperhatikan petunjuk penyiapan susu SGM Eksplor 1 Plus yang tertera pada kemasan.,,Pangan Olahan Diet Khusus,Susu pertumbuhan untuk Anak Usia 1-3 Tahun. Mengandung formula Complinutri membantu melengkapi nutrisi si Kecil.,Dus @ 150 G,Kandungan susu dapat dilihat di Informasi Nilai Gizi.,,Sari Husada Generasi Mahardika,,"Tidak cocok untuk Bayi di bawah 12 bulan. PETUNJUK PENYIMPANAN : Setelah dibuka, lipat kantung sachet susu beberapa kali. Simpan kantung sachet susu dan sendok takar dalam wadah kering, bersih, sejuk dan tertutup rapat tidak lebih dari 1 (satu) bulan. Jangan digunakan jika terjadi perubahan warna, bau, dan rasa dari bubuk susu."
Prolacta With DHA For Baby 50 Kapsul,Rp309.100 - Rp379.800,Sebelum / sesudah makan,"PROLACTA WITH DHA FOR BABY KAPSUL merupakan suplemen makanan untuk bayi yang mengandung DHA, EPA dan asam arakidonat. Suplemen ini digunakan untuk menunjang perkembangan otak bayi, membantu proses perkembangan indera penglihatan, meningkatkan daya tahan tubuh, mengembangkan susunan saaf pusat, memenuhi kebutuhan gizi bayi.",Bayi: 1x sehari 1 kapsul lunak,,Vitamin & Suplemen,Suplemen untuk menunjang perkembangan Otak Bayi dan untuk mensuplai Nutrisi yang dibutuhkan extra oleh tubuh * lihat note di correction sheet dlm kolom indikasi,"Dus, 5 Blister @ 10 Tablet","Natural Fish oil mengandung DHA 75 mg, EPA 7 mg, Arachidonic acid 100 mg",,Novell Pharmaceutical Laboratories,BPOM: SD061328821,Hipersensitif terhadap komponen obat
Sisoprim Sirup 60 ml,Rp21.400,Sesudah makan,"SISOPRIM SIRUP mengandung zat aktif sulfametoxazole dan trimethoprim yang berguna untuk mengobati : infeksi traktus urinarius seperti pielonefritis, pielitis dan prostatitis akut dan kronis oleh kuman yang sensitif seperti E. coli, Klebsiella, Enterobacter dan Proteus, Infeksi traktus gastrointestinal, terutama oleh kuman Salmonella dan Shigella seperti demam tifoid, paratifoid dan disentri basiler, Infeksi traktus respiratorius seperti bronkhitis akut dan sinusitis akut oleh kuman H. influenzae dan S. pneumoniae, Infeksi THT seperti otitis media akut dan sinusitis akut oleh kuman H. influenzae atau S. pneumoniae., Infeksi lain seperti toxoplasmosis dan infeksi lainnya dimana obat terpilih tidak dapat diberikan. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak berusia 6-12 tahun : 2 kali sehari 10 mL. Anak berusia 2-6 tahun : 2 kali sehari 7,5 mL. Anak berusia 6 bulan - 2 tahun : 2 kali sehari 5 mL. Anak berusia 2-6 bulan : 2 kali sehari 2,5 mL. Pada infeksi akut, berikan selama paling sedikit 5 hari atau sampai pasien telah bebas dari gejala selama 2 hari. Pneumocystis carinii pneumonitis : 20 mg/kg Trimetoprim dan 100 mg/kg Sulfametoksazol/24 jam dalam dosis terbagi yang sama besar yang diberikan tiap 6 jam selama 14 hari.","Hiperkalemia, hiponatremia, hipoglikemia, alergi sulfonamida, eksaserbasi porfiria",,,,,,,,
Sebamed Baby Protective Facial Cream 50 ml,Rp297.300 - Rp433.500,Oleskan tipis-tipis secukupnya disudut-sudut mulut bila terjadi peradangan / inflamasi di sekitar mulut.,Sebamed Baby Protective Facial Cream merupakan krim pelembab dengan pH 5.5 yang ditujukan untuk menjaga kulit wajah bayi agar tetap lembab dan halus. Krim ini mengandung Panthenol yang dapat membantu mengurangi iritasi kulit.,,,Produk Konsumen,"Krim wajah yang dapat membantu mencegah iritasi pada kulit sekitar mulut bayi agar tidak kering, sehingga tampak lebih lembab dan kulit tampak lebih halus.","Box, Botol @ 50 ml",,,Sebapharma,BPOM: NC16140102097,
Cendo Hyalub Eye Drop 5 ml,Rp68.200 - Rp82.500,Teteskan pada mata yang sakit,"CENDO HYALUB EYE DROP 5 ML merupakan obat tetes mata yang digunakan untuk kondisi mata iritasi, kering, rasa terbakar dan tidak nyaman.Cendo Hyalub mengandung Sodium Hialuronat yang bekerja dengan fibronectin meningkatkan adhesi dan migrasi dari sel epitel.Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 1 tetes pada mata 5-6 kali sehari atau sesuai petunjuk dokter,"Gatal, iritasi, konjungtivitis, lesi kornea, hipersensitif",Obat Keras (Merah),"Menghilangkan rasa terbakar, iritasi, dan ketidaknyamanan yang disebabkan karena kekeringan pada mata dan untuk mempercepat perbaikan permukaan ocular",Catch Cover @ 5 Botol Plastik @ 0.6 ml,Tiap ml mengandung: Sodium hyaluronate 1 mg,belum di temukan,Cendo Pharmaceutical,BPOM: DKL1003812946A1,"HARUS DENGAN RESEP DOKTER. - Hanya untuk pemakaian luar - Jauhkan dari jangkauan anak-anak. - Untuk menghindari pencemaran, botol harus ditutup kembali setelah pemakaian. - Jangan digunakan jika larutan berubah warna atau keruh. - Untuk menghindari kontaminasi, jangan menyentuh ujung penetes. - Jika iritasi berlanjut atau bertambah buruj, hentikan pengobatan dan konsultasikan ke dokter."
Lactacyd All Day Care 150 ml,Rp61.100 - Rp96.700,"Kocok sebelum digunakan. Tuang isi pada telapak tangan. Usapkan pada area intim, dari arah depan ke belakang dan biarkan selama 30 detik. Bilas dan keringkan.",LACTACYD FEMININE HYGIENE merupakan pembersih daerah kewanitaan yang mengandung Lactoserum Lactic acid. LACTACYD FEMININE HYGIENE digunakan untuk membersihkan dan menyegarkan serta melindungi area intim dari bakteri yang dapat menimbulkan rasa gatal dan bau tidak sedap.,"Gunakan seperti sabun cair secara teratur, dua kali sehari saat mandi pagi dan sore hari.",,Produk Konsumen,Untuk melindungi dan menjaga kesehatan area intim sehari-hari.,"Dus, Botol @ 150 ml","Asam Laktat 1 Gr, Laktoserum 900 Mg,",,Aventis Pharma,BPOM: NA54201600004,
Insto Reguler Eye Drops 7.5 ml,Rp14.900 - Rp18.100,Diteteskan pada mata yang merah/teriritasi,"INSTO REGULAR EYE DROP mengandung zat aktif Tetrahidrozolin HCl dan Benzalkonium Klorida, digunakan untuk mengatasi mata merah dan rasa perih akibat iritasi mata ringan yang dapat disebabkan karena asap, debu dan lainnya.","2-3 tetes pada setiap mata, 3-4 kali sehari atau sesuai anjuran dokter.","Mata terasa pedih, rasa terbakar dan reaksi hiperemia pada pemakaian yang berlebihan",Obat Bebas Terbatas (Biru),"Mengatasi kemerahan dan rasa perih di mata yang disebabkan oleh iritasi ringan karena debu, asap, angin, dan setelah berenang.","Dus, Botol @ 7,5 ml","Tiap mL larutan isotonik steril mengandung: Tetrahydrozoline HCl 0.05% b/v, Benzalkonium Chloride 0.01% b/v",Jangan menggunakan Insto jika Anda hipersensitivtas terhadap kandungan yang ada di dalam obat ini.,Sterling,BPOM: DTL1438202046A1,"Jauhkan dari jangkauan anak- anak. Tutup rapat dan hindari pencemaran. Jangan dipakai setelah dibuka 1 bulan. Jangan digunakan bila larutan berubah warna atau keruh. Jika iritasi tidak mereda dalam. 3 hari, segera minta nasehat dokter. Tidak boleh digunakan pada penderita glaukoma. Obat ini mengandung Benzalkonium klorida, penggunaan jangka panjang dan berlebihan dapat menyebabkan kerusakan selaput mata. Jangan menggunakan obat ini secara rutin dan untuk jangka panjang. Jika gejala telah hilang, hentikan penggunaan obat. Jangan menggunakan kontak lensa ketika menggunakan obat ini. Kontak lensa dapat digunakan minimal 10-15 menit setelah obat diteteskan"
Ifen 400 mg 10 Tablet,Rp13.100,Sesudah makan,"IFEN TABLET merupakan obat yang mengandung zat aktif Ibuprofen. Obat ini termasuk golongan obat anti inflamasi non steroid (NSAID). Ibuprofen memiliki efek anti inflamasi, analgesik (menurunkan rasa nyeri), dan antipiretik (menurunkan demam). Obat ini bekerja melalui penghambatan prostaglandin dengan menghambat enzim cyclooxygenase. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. � Artritis Reumatoid dan Osteoartritis: 3 � 4 x sehari 1 tablet (200 mg atau 400 mg), disesuaikan dengan kebutuhan masing-masing penderita. � Nyeri ringan sampai sedang: 200 � 400 mg tiap 4 � 6 jam sesuai kebutuhan.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Gangguan saluran cerna, gangguan pembekuan darah, gangguan kardiovaskuler, reaksi hipersensitif, gangguan fungsi ginjal.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan simtomatik artritis reumatoid dan osteoartritis, pada fase akut dan untuk pengobatan jangka panjang. Pengobatan rasa nyeri yang ringan sampai sedang.","Dus, 3 Strip @ 10 Tablet Salut Selaput",Ibuprofen 400 mg,"Ulkus peptikum. Ibu hamil trimester III. Bronkospasme, alergi rinitis dan urtikaria karena asetosal. Hipersensitif terhadap ibuprofen.",Kalbe Farma,BPOM: DKL8511603717A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 1 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. -Pemberian bersama dengan NSAID. -Hindarkan penggunaan pada kehamilan trimester 3 karena dapat menyebabkan penutupan dini duktus arterious. Kategori Kehamilan: Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil."
Estin Drop 10 ml,Rp61.100 - Rp85.400,Dapat diberikan bersama atau tanpa makanan.,"ESTIN DROP merupakan obat yang mengandung Cetirizine HCl. Obat ini digunakan untuk mengatasi berbagai kondisi alergi (rhinitis perennial, rhinitis alergi musiman dan kronis atau urtikaria idiopatik), efektif untuk mengurangi gejala baik pada mata maupun hidung seperti: bersin, hidung meler, rasa gatal atau terbakar pada mata. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan anak di atas 12 tahun : 1 kali sehari 1 ml Anak 6-12 tahun : 1 kali sehari 1 ml atau diberikan secara dosis terbagi 0,5 ml setiap 12 jam. Anak 2-6 tahun : 1 kali sehari 0,5 ml atau diberikan secara dosis terbagi 0,25 ml setiap 12 jam.","Mengantuk, pusing, sakit kepala, gelisah, mulut kering, gangguan GI, reaksi pada kulit, angioedema.",Obat Keras (Merah),"Rinitis menahun, rinitis alergi, urtikaria idiopatik kronik.","Dus, Botol @ 10 ml",Cetirizine 10 mg/ml,hipersensitif,Gracia Pharmindo,BPOM: DKL0835306236A1,"HARUS DENGAN RESEP DOKTER. Hamil, laktasi. Anak <2 tahun. Dpt mengganggu kemampuan mengemudi atau menjalankan mesin. Kategori Kehamilan : B"
SGM Eksplor 3 Plus Complinutri Vanila Susu Bubuk 400 g,Rp34.000 - Rp54.200,Saran penyajian dapat dilihat pada kemasan produk.,"SGM EKSPLOR 3 PLUS dengan formula Complinutri merupakan susu bubuk yang ditujukan untuk anak usia 3-5 tahun. Susu ini dapat membantu melengkapi nutrisi untuk dukung si Kecil memiliki 5 Potensi Prestasi Anak Generasi Maju : Berpikir Kreatif, Bantu Tumbuh Kembang, Supel, Mandiri, Percaya Diri. Formula Complinutri membantu melengkapi nutrisi si Kecil karena mengandung zat-zat gizi yang saling mendukung, diantaranya yaitu: 1. Minyak Ikan, Omega 3, Omega 6, zat Besi untuk mendukung daya pikir si Kecil. 2. Tinggi Protein yang penting untuk mendukung pertumbuhan & perkembangan si Kecil. 3. Kalsium & Vitamin D untuk mendukung pembentukan & mempertahankan kepadatan tulang & gigi si Kecil. 4. Vitamin C & Zinc untuk mendukung daya tahan tubuh si Kecil.",Berikan SGM Eksplor 3 Plus minimal dua kali sehari untuk bantu lengkapi nutrisi si Kecil. Mohon memperhatikan petunjuk penyiapan susu SGM Eksplor 3 Plus yang tertera pada kemasan.,,Produk Konsumen,"Susu bubuk untuk anak usia 3-5 tahun. SGM Eksplor dengan formula Complinutri membantu melengkapi nutrisi si Kecil karena mengandung zat-zat gizi yang saling mendukung : 1. Minyak Ikan, Omega 3, Omega 6, zat Besi untuk mendukung daya pikir si Kecil 2. Tinggi Protein yang penting untuk mendukung pertumbuhan & perkembangan si Kecil 3. Kalsium & Vitamin D untuk mendukung pembentukan & mempertahankan kepadatan tulang & gigi si Kecil 4. Vitamin C & Zinc untuk mendukung daya tahan tubuh si Kecil 5. Serat Pangan Inulin untuk mempertahankan kesehatan saluran cerna si Kecil.",Dus @ 400 G,Kandungan susu dapat dilihat di Informasi Nilai Gizi.,,Sari Husada Generasi Mahardika,,"Tidak cocok untuk Bayi. PETUNJUK PENYIMPANAN : Setelah dibuka, lipat kantung sachet susu beberapa kali. Simpan kantung sachet susu dan sendok takar dalam wadah kering, bersih, sejuk dan tertutup rapat tidak lebih dari 1 (satu) bulan. Jangan digunakan jika terjadi perubahan warna, bau, dan rasa dari bubuk susu."
Lodecon Forte 10 Kaplet,Rp12.100 - Rp15.900,Sebelum atau sesudah makan,"LODECON FORTE KAPLET adalah obat yang digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin disertai batuk tidak berdahak.",Dewasa : 3 kali sehari 1 kaplet Anak-anak usia 6-12 tahun : 3 kali sehari 1/2 kaplet,"Mengantuk, pusing, mulut kering, ruam kulit, menurunkan nafsu makan,berkeringat",Obat Bebas Terbatas (Biru),"Mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin disertai batuk tidak berdahak.","Dus, 10 Catch Cover @ 1 Strip @ 10 Kaplet","Paracetamol 600 mg, Chlorpeniramine maleate 1 mg, Phenylephrine HCl 7.5 mg, Dextromethorphan HBr 15 mg, glyceryl guaiacolate 50 mg","Penderita hipertensi, penyakit jantung koroner, pasien yang sedang mengkonsumsi obat penghambat monoamine oksidase (MAOI), penderita penyakit ginjal, hipertiroidisme.",Solas Langgeng,BPOM: DTL0233401404B1,Dapat mengganggu kemampuan mengemudi atau menjalankan mesin. Pasien yang menderita diabetes melitus. Penderita glaukoma. Wanita hamil.
Evalen Gel 10 g,Rp52.500 - Rp65.000,Dioleskan pada jerawat,EVALEN GEL 10 G mengandung zat aktif Adapalen. Sediaan topikal ini digunakan untuk mengatasi jerawat dan bekerja dengan mempengaruhi pertumbuhan sel dan mengurangi pembengkakan dan peradangan. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Oleskan 1 x sehari pada jerawat, malam hari sebelum tidur dan sesudah mencuci muka","Eritema, kulit bersisik, pruritus, rasa terbakar/tersengat, iritasi kulit, kulit terbakar dan perburukan jerawat. Semua efek samping ini akan menghilang sesudah terapi dihentikan",Obat Keras (Merah),Akne vulgaris/jerawat,"Dus, Tube @ 10 g",Adapalene 1 mg,Hipersensitivitas,Ferron Par Pharmaceutical,BPOM: DKL0634604228A1,"HARUS DENGAN RESEP DOKTER. Kurangi pemaparan terhadap sinar matahari, gunakan tabir surya dan pakaian pelindung"
Levitra Tablet 20 mg,Rp148.300 - Rp199.800,Diberikan bersama makanan.,"LEVITRA merupakan obat disfungsi ereksi yang mengandung Vardenafil HCl. Obat ini bekerja meningkatkan aliran darah ke penis sehingga pria dengan disfungsi ereksi dapat melakukan aktivitas seksual. Levitra hanya dapat digunakan untuk pria, tidak dapat digunakan untuk wanita. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa 10 mg, 25-60 menit sebelum beraktivitas seksual. Maksimal 20 mg 1 x/hari. Lansia awal 5 mg, dapat ditingkatkan s/d 10-20 mg, bila perlu. Dosis tidak boleh melebihi 5 mg jika diberikan dalam kombinasi dengan eritromisin.","Rasa panas dan kemerahan pada kulit wajah, sakit kepala, dispepsia, mual, pusing, hidung tersumbat.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan disfungsi ereksi pada pria dewasa,"Dus, 1 Blister @ 4 Tablet Salut Selaput",Vardenafil 20 mg,"Pemberian bersama dengan nitrat oksida, nitrat organik, atau nitrit organik dalam bentuk sediaan apapun, pasien dengan neuropati optik iskemik non-arteritik.",Bayer Indonesia,BPOM: DKI0351601917C1,HARUS DENGAN RESEP DOKTER. Pasien dengan deformasi anatomis dari penis atau dengan kondisi yang dapat memicu priapismus
Minyak Tawon 912 50 ml,Rp24.300 - Rp32.900,Dioleskan secukupnya,"MINYAK TAWON 912 digunakan untuk membantu memberikan rasa hangat, membantu meringankan gatal-gatal, dan membantu menghindari gigitan nyamuk",Sesuai kebutuhan,,Herbal,"Membantu memberikan rasa hangat, membantu meringankan gatal-gatal, dan membantu menghindari gigitan nyamuk",Botol @ 50 ml,"Oleum Cocos 65%, Oleum Palm 15%, Oleum Cajuput 15%, Oleum Citronella 10%",,Kali Kurnia,BPOM: TR185616781,"Hanya untuk pemakaian luar, jauhkan dari jangkauan anak-anak"
Damaben Drops 10 ml,Rp13.200 - Rp20.600,Dikonsumsi pada perut kosong (1 atau 2 jam sebelum/sesudah makan),DAMABEN DROPS 10 ML adalah obat yang digunakan untuk pengobatan jangka pendek (4 sampai 12 minggu) pada penyakit maagpersisten saat obat-obatan biasa tidak cukup berhasil. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak berusia 9-14 tahun (berat badan 30 kg ke atas) : 3 kali sehari 5 mg. Anak berusia 5-9 tahun (berat badan 20-29 kg) : 3 kali sehari 2,5 mg. Anak berusia 3-5 tahun (berat badan 15-19 kg) : 2-3 kali sehari 2 mg. Anak berusia 1-3 tahun (berat badan 10-14 kg) : 2-3 kali sehari 1 mg. Anak berusia kurang dari 1 tahun (berat badan sampai dengan 10 kg) : 2 kali sehari 1 mg.","Mengantuk, diare, urtikaria, mulut kering, lelah, lesu, gelisah, edema pada lidah atau periorbital, methemoglobinemia, konstipasi, gejala ekstrapiramidal seperti parkinson, diskinesia tardif pada usia lanjut dan anak.",Obat Keras (Merah),"Diabetik Gastroparesis akut dan berulang. mual dan muntah paska operasi akibat obat2an, rasa panas pada ulu hati/kerongkongan akibat Reflux Esofagitis","Dus, Botol @ 10 ml",Per mL : Metoclopramide HCl 4 mg,"Feokromositoma, hamil trimester-1, epilepsi, pasien dengan obat lain yang menybabkan reaksi ekstrairamidal, pendarahan, obstruksi saluran cerna.",Caprifarmindo,BPOM: DKL9622218836A1,"HARUS DENGAN RESEP DOKTER. Laktasi, gangguan fungsi ginjal. Mengganggu kemampuan mengemudi atau menjalankan mesin."
Pediasure Vanila 200 g,Rp83.800 - Rp102.400,"Sebagai dukungan nutrisi di antara waktu makan (sesuai kebutuhan). Lihat tabel untuk informasi nilai gizi. Sarankan untuk tidak melebihi batas saji maksimum. 2 saji untuk anak 1-3 tahun, 3 saji untuk anak 4-10 tahun. Tambahkan 5 sendok takar bubuk secara bertahap. Tuangkan air hangat/ dingin 190ml. menghasilkan minuman rasa vanila 230ml.","Pediasure merupakan dukungan nutrisi yang diformulasikan untuk membantu memenuhi kebutuhan nutrisi harian si Kecil. Dengan terpenuhinya kebutuhan nutrisi harian si Kecil, tumbuh kembang si Kecil menjadi semakin optimal. Pediasure dilengkapi dengan: 1. Triple Protein 2. Campuran minyak nabati 3. Dilengkapi 12 Vitamin dan 8 Mineral 4. Tinggi Kalsium, Fosfor dan Vitamin D 5. Diperkaya DHA, AA, LA, dan ALA 6. Prebiotik FOS dan Probiotik, Zat Besi dan Zinc",Sesuai kebutuhan,,Produk Konsumen,"Nutrisi lengkap dan seimbang dengan simbiotik untuk anak usia 1 - 10 tahun yang susah makan. Membantu mempercepat pertumbuhan dan memenuhi kebutuhan nutrisi pada anak yang susah makan, aktif dan sibuk, serta mempercepat pemulihan selama dan sesudah sakit","Dus, Aluminium Foil @ 200 g",,,Abbott,BPOM: ML867009011512,
